Судлагдахууны нэр,Ангийн нэр,Нэгжийн нэр,№,Ээлжит хичээл,Ээлжит хичээлийн зорилго
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L1,Бүхэл тооны жиших үйлдэл,"Амьдрал дахь асуудал дээр тулгуурлан бүхэл тооны эрэмбийг ойлгох, тоон шулуун дээрх бүхэл тооны геометр байрыг ойлгох, тоон шулуун ашиглан бүхэл тоог жишиж сурах"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L2,"Бүхэл тооны нэмэх, хасах үйлдэл","Тоон шулуун хэрэглэн (бусад сонирхолтой аргуудыг нэмэлтээр ашиглаж болно) бүхэл тоонуудыг нэмэх, хасах үйлдлийг ойлгож, үйлдэл хийж сурах, хэрэглэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L3,"Бодлого дасгал (Бүхэл тооны нэмэх, хасах үйлдэл)","Бүхэл тооны нэмэх, хасах үйлдэл оролцсон илэрхийллийн утгыг олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L4,"Бүхэл тооны үржих, хуваах үйлдэл","Тоон шулуун бусад сонирхолтой аргуудыг хэрэглэн бүхэл тооны үржүүлэх, хуваах үйлдлийг ойлгож, үйлдэл хийж сурах, үржих, хуваах үйлдлийн чанарыг ойлгох"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L5,"Бодлого дасгал (Бүхэл тооны үржих, хуваах үйлдэл)","Бүхэл тооны үржих, хуваах үйлдлийн чанарыг хэрэглэж бодлого бодох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L6,"Бодлого дасгал (бүхэл тооны нэмэх, хасах,  үржих, хуваах үйлдлүүд)","Бүхэл тооны нэмэх, хасах, үржих, хуваах үйлдэл оролцсон илэрхийллийн утгыг олох, үйлдлийн чанар ашиглан хялбар аргаар илэрхийллийн утгыг олох, эерэг, сөрөг тоо оролцсон асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L7,"Бүхэл тооны квадрат зэрэг, квадрат язгуур","Бүхэл тооны үржүүлэх үйлдэл дээр үндэслэн тоог квадрат зэрэгт дэвшүүлэх үйлдлийг ойлгож, -20-оос 20 -ын хоорондох бүхэл тооны квадрат зэргийг цээжлэх, тооноос квадрат язгуур гаргах үйлдлийг ойлгох, квадрат язгуур нь -20-оос 20-ын хүртэлх бүхэл тоо байх тоог цээжлэх, хэрэглэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L8,"бодлого дасгал (квадрат зэрэг, квадрат язгуур)","Тоог квадрат зэрэгт дэвшүүлэх, квадрат язгуур олох үйлдэл оролцсон илэрхийллийн утгыг олох, үйлдлийн чанар ашиглан хялбар аргаар тооцоолох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L9,бодлого дасгал (бүхэл тооны үйлдлүүд),"Бүхэл тооны нэмэх, хасах, үржүүлэх, хуваах, квадрат зэрэг дэвшүүлэх, квадрат язгуур гаргах үйлдэл оролцсон илэрхийллийн утгыг үйлдлийн чанар ашиглан хялбар аргаар олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур",L10,"ҮНЭЛГЭЭ-Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур","Сурагчид нэгж хичээлээр олж авсан мэдлэг, чадвараа үнэлэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L11,Тооны хуваагдах шинжүүд,"Өмнөх ангид судалсан тооны 2, 3, 4, 5, 10, 100 -д хуваагдах шинжүүдийг сэргээн бататгаад, шинээр тооны  6, 8, 9 -д хуваагдах шинжийг мэдэх, хэрэглэх "
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L12,Тооны хуваагдах шинжийг хэрэглэх,Тооны хуваагдах шинжийг хэрэглэн төрөл бүрийн асуудал шийдвэрлэх
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L13,Анхны тоо ба зохиомол тоо,"Өгсөн тооны бүх хуваагчдыг олох (хуваагдах шинж ашиглах, аалзны арга, лего тоглоомын арга зэрэг сонирхолтой арга ашиглах), улмаар анхны ба зохиомол тоог ялгаж таних "
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L14,Бодлого дасгал (Тооны хуваагдах шинж),"Тооны хуваагдах шинжийг хэрэглэн1-ээс 100 хүртэлх анхны тоонуудыг  сонирхолтой аргуудаар олох, асуудал шийдвэрлэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L15,Ерөнхий хуваагч ба ХИЕХ,"Өгсөн (хоёр болон түүнээс дээш ширхэг) тоонуудын  ерөнхий хуваагч, ХИЕХ-ыг таних,, ХИЕХ олох хялбар аргыг мэдэх, хэрэглэх (нэг ба хоёр оронтой тоонуудын хувьд тоочин бичих аргаар олох)"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L16,Харилцан анхны тоонууд (ХИЕХ ашиглан асуудал шийдвэрлэх),"Харилцан анхны тоонуудыг таних, ХИЕХ-ийг  хялбар аргаар олох, ХИЕХ ашиглан асуудал шийдвэрлэх, хэрэглээг мэдэх"
Математик,6-р анги,"Тооны хуваагдах шинж, хэллэг, олонлог",L17,Ерөнхий хуваагдагч ба ХБЕХ,"Өгсөн (хоёр болон түүнээс дээш ширхэг) тоонуудын ерөнхий хуваагдагч, ХБЕХ-ыг таних, ойлгох, ХБЕХ олох аргыг мэдэх, хэрэглэх (нэг ба хоёр оронтой тоонуудын хувьд)"
