Lesson ID,Ээлжит хичээл,Үнэлгээний нэгж,Learning Objective ID,Суралцахуйн зорилт,Суралцахуйн үр дүн
L1,Бүхэл тооны жиших үйлдэл,"Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L2,"Бүхэл тооны нэмэх, хасах үйлдэл","Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L3,"Бодлого дасгал (Бүхэл тооны нэмэх, хасах үйлдэл)","Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L4,"Бүхэл тооны үржих, хуваах үйлдэл","Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L5,"Бодлого дасгал (Бүхэл тооны үржих, хуваах үйлдэл)","Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L6,"Бодлого дасгал (бүхэл тооны нэмэх, хасах,  үржих, хуваах үйлдлүүд)","Тоон олонлог, зэрэг, язгуур",CZ-6.1а,"6.1а. Эерэг, сөрөг тоог ахуй амьдралд хэрэглэх, тоон шулуун хэрэглэн бүхэл тоонуудыг жиших, нэмэх, хасах, хялбар бүхэл тоонуудыг үржүүлэх, хуваах","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L7,"Бүхэл тооны квадрат зэрэг, квадрат язгуур","Тоон олонлог, зэрэг, язгуур",CZ-6.1в,"6.1в. Бүхэл тооны квадрат зэргийг олох, түүний урвуу үйлдлийг ойлгох, язгуур нь -20-оос +20 хүртэлх бүхэл тоо байх тоог таних, цээжээр олох, тэмдэглэх","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L8,"бодлого дасгал (квадрат зэрэг, квадрат язгуур)","Тоон олонлог, зэрэг, язгуур",CZ-6.1в,"6.1в. Бүхэл тооны квадрат зэргийг олох, түүний урвуу үйлдлийг ойлгох, язгуур нь -20-оос +20 хүртэлх бүхэл тоо байх тоог таних, цээжээр олох, тэмдэглэх","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L9,бодлого дасгал (бүхэл тооны үйлдлүүд),"Тоон олонлог, зэрэг, язгуур",CZ-6.1в,"6.1в. Бүхэл тооны квадрат зэргийг олох, түүний урвуу үйлдлийг ойлгох, язгуур нь -20-оос +20 хүртэлх бүхэл тоо байх тоог таних, цээжээр олох, тэмдэглэх","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
L10,"ҮНЭЛГЭЭ-Бүхэл тооны дөрвөн үйлдэл, квадрат зэрэг, квадрат язгуур","Тоон олонлог, зэрэг, язгуур",CZ-6.1в,"6.1в. Бүхэл тооны квадрат зэргийг олох, түүний урвуу үйлдлийг ойлгох, язгуур нь -20-оос +20 хүртэлх бүхэл тоо байх тоог таних, цээжээр олох, тэмдэглэх","1. Сурагч эерэг, сөрөг тооны ахуй амьдрал дахь хэрэглээг ойлгодог, хялбар бүхэл тоог жишиж, дөрвөн үйлдэл гүйцэтгэдэг, бүхэл тооны квадрат зэргийн утга болон квадрат язгуур нь бүхэл тоо байх тоог олдог, тэмдэглэдэг болно."
